Campaign ID,Total Funds Raised,Number of Donors,Average Donation Size,Attendance Numbers,Funds Raised at Events,Participant Feedback,Marketing Spend,Cost per Acquisition,Return on Investment (ROI),Event Type,Event Date
9d3f4402-1f35-4ad3-9b8d-b13f07dc2a68,99901.49,278,1354.61,913,19142.03,Positive,4752.18,90.81,9.4,Gala,2020-10-02
feffd8f0-7392-4307-b7ba-8fd0f3bcd3b8,48345.17,308,102.37,497,4699.67,Positive,7382.89,18.23,2.48,Auction,2024-05-18
e2417370-727d-4ff6-a2a1-0f87d3df00bc,5241.64,240,179.68,82,3324.7,Positive,4700.9,13.86,6.11,Dinner,2020-01-31
248a87df-bd76-4677-999b-fb994538678d,22923.51,194,280.48,309,24090.19,Negative,241.75,77.04,8.4,Marathon,2020-11-08
54d3859a-d615-4323-9b45-348d7c7cc6cd,89552.41,114,1231.21,439,994.94,Positive,8687.32,10.28,6.71,Gala,2020-10-11
5e2122e4-5ce0-4e62-bc1d-dbc6d033c719,32317.63,345,954.77,836,3392.87,Neutral,6363.31,19.36,2.4,Marathon,2024-06-04
608e3d18-6f95-4976-b227-2f79d93c45df,75711.33,383,298.48,160,12795.91,Positive,2751.01,9.56,0.21,Marathon,2020-03-31
67f4fade-deea-4cbc-8625-e862d764c7a8,65238.55,202,551.02,740,48611.85,Positive,3074.77,50.67,9.14,Dinner,2024-05-28
3eae5732-6501-4b68-a923-8cc3e1d5e1ce,56621.29,473,603.96,569,46841.54,Neutral,936.82,96.93,9.21,Gala,2022-01-07
d57cf95f-4674-4a65-b168-f9f75c978dcc,96626.8,92,960.64,388,4261.87,Neutral,2619.28,5.38,5.18,Auction,2022-09-13
b1953cca-b552-4a7f-b66a-cb0c6cf268c9,28872.78,97,160.61,214,19196.7,Neutral,5274.6,19.87,9.71,Marathon,2022-09-06
70d7a761-8ce3-4d61-9d85-386ab90b66ec,93305.84,107,153.28,437,48852.18,Negative,2456.71,16.63,1.6,Auction,2023-11-25
20f84fa5-89eb-4ab6-871f-9fa7e2aa7d88,12933.57,188,1803.17,928,27225.15,Neutral,4104.17,68.49,8.62,Gala,2023-08-27
9f885027-5da8-4eec-be40-4c128a6013da,70448.82,270,141.56,212,8957.5,Neutral,7057.09,34.86,9.7,Gala,2021-10-30
cce8fbf1-c7c7-4e00-88b3-a8378e365ca8,33609.03,314,23.5,150,23296.23,Positive,9975.22,99.34,5.2,Dinner,2024-04-02
cf311f71-4e46-4877-b1ca-148b4a14b1ad,68486.7,86,1925.14,125,47158.74,Positive,9332.58,37.91,0.57,Dinner,2022-10-01
74a8185a-ae04-47f4-b25a-c01f4b665dc8,94156.27,126,1197.3,596,30409.73,Positive,2111.32,95.56,7.45,Gala,2023-03-14
29c40795-4b7a-401c-a95e-7da7ef92d4df,79777.64,87,1341.73,454,6973.07,Negative,1947.69,96.35,4.73,Dinner,2021-03-04
deec5868-1601-4840-a243-fd9ce319581e,76738.53,449,1972.97,625,4180.61,Positive,701.0,59.03,4.78,Gala,2021-08-13
17e17005-d362-4d91-aa87-83511256154f,19894.81,181,865.34,93,7251.37,Neutral,8568.41,6.5,5.61,Dinner,2024-04-26
915bfe1b-abfb-43b1-a30a-19b2c0b8e5b5,53182.64,60,964.52,183,49409.89,Neutral,6228.91,92.75,0.71,Dinner,2022-02-28
a1d9718d-4baf-4f56-a6cc-3df4fc5bbb4f,92029.63,437,1957.08,892,14657.44,Neutral,8748.29,55.36,8.94,Auction,2021-07-05
fddf89c9-24e6-4b48-8765-ffe664528e73,65183.19,482,1108.61,873,2944.43,Neutral,8285.85,87.33,8.59,Gala,2020-10-10
60607144-fe5c-4960-924a-c53551405d2a,65316.24,364,306.09,524,15188.3,Positive,8684.08,90.29,0.84,Dinner,2021-02-15
b1a688f0-2aad-4656-82a0-fe0fd6d7573a,87396.46,385,55.08,708,20276.64,Neutral,3589.59,31.72,9.55,Auction,2021-03-11
6af70c78-3f8f-4bb6-91b2-c002349225a1,10531.0,148,523.29,43,44321.15,Neutral,4957.02,50.93,4.44,Auction,2020-03-14
d4f0a3b6-9a53-49c0-9cee-1d6e001248cc,61410.07,115,1514.62,341,36400.31,Positive,1200.65,86.71,0.45,Marathon,2021-01-08
736bbd11-c38f-4a27-8fcf-80b392150e7b,84247.37,197,718.36,391,20859.15,Neutral,9585.83,14.88,0.82,Dinner,2022-01-05
c135be69-8bb2-4e2c-a877-7bb23b5cc3fb,46115.82,386,792.95,658,17348.64,Positive,7171.45,9.46,9.89,Auction,2023-12-26
7a2e309e-b72e-4ced-ba82-b205a9400ef0,55936.35,318,552.29,674,43197.83,Neutral,925.42,54.31,8.69,Marathon,2022-03-02
094bb630-8ae4-439f-a2c5-188bbb6233ab,12729.85,311,1126.86,327,555.14,Negative,3581.58,48.25,3.96,Gala,2021-07-03
b98d1f78-9bdf-43b7-800b-5e19a6a5f1c7,86327.29,244,1157.63,420,7723.15,Neutral,5557.42,54.05,6.16,Dinner,2021-05-05
230fb177-478d-46dc-90b6-143441994d41,50981.72,487,1865.79,666,48833.37,Neutral,8679.06,90.81,9.87,Gala,2021-07-01
e7783eab-7981-48ea-8500-3cc248c7c535,58892.18,471,78.91,685,48906.95,Positive,1711.04,14.23,3.48,Dinner,2022-03-26
90b4aacb-fd0c-4703-8122-a2f60f192cdf,99094.68,103,507.81,876,750.71,Positive,821.02,6.42,3.25,Auction,2023-11-09
aa926dbc-ba2b-4e0e-9b87-fd230d71d798,81600.05,96,279.58,441,31154.5,Positive,3422.03,41.42,4.4,Auction,2022-01-30
ff7b2f51-a05f-4c61-85d7-c68e811b60bb,96685.0,444,1861.32,405,40074.88,Neutral,3347.55,97.86,7.69,Marathon,2022-05-30
e9aaed39-001a-4134-9d57-e2594e2a2f7a,89098.9,249,1421.16,506,36416.72,Negative,489.69,69.24,6.29,Dinner,2020-08-23
c2f12637-514d-44f3-8876-be8c9edc7d63,96028.6,71,1253.25,57,18403.34,Negative,375.54,85.35,3.12,Marathon,2020-09-22
e7d52f32-fa1e-44e2-9097-116582470630,32640.42,116,403.68,64,16958.22,Neutral,3698.8,6.04,6.69,Gala,2022-02-19
34284451-2983-4173-8321-6aa96277be22,19444.42,446,1877.02,758,13489.62,Negative,1585.58,17.96,4.5,Dinner,2023-05-13
eaa46b35-d1f9-4984-a22f-d941b221e920,49854.51,477,582.79,790,5288.24,Negative,7858.26,40.88,1.84,Gala,2021-10-08
ddf7c573-64e9-4e37-9836-ad4acc86f10e,35806.88,70,694.72,432,37258.51,Positive,5216.02,43.38,6.03,Gala,2023-02-11
a6a9601b-a2a8-41b7-9071-8c601cd4cd58,87457.53,431,144.41,600,14332.95,Negative,6398.18,38.09,6.52,Gala,2023-07-26
e0c951eb-b53a-4a5a-886d-24d69cd81e52,44432.51,205,1928.91,808,45669.42,Neutral,2439.92,31.98,3.37,Gala,2022-07-28
311242a3-089c-4126-ae73-eb651643a4c8,92604.85,382,1439.52,367,34193.08,Negative,3256.49,73.52,9.01,Gala,2023-11-25
6dff410e-d8d4-4a90-9350-00529e9f7416,8340.48,310,1833.58,178,17220.28,Neutral,7930.19,44.22,0.1,Dinner,2022-06-14
dada9083-093d-4b58-8345-19b74e47e074,73069.61,76,1629.87,26,35409.5,Neutral,5179.28,33.65,8.53,Gala,2023-12-28
181fa90f-4ca7-43e3-bf5b-31560b37f343,20129.75,381,1250.82,659,3012.37,Positive,5110.19,73.04,5.3,Gala,2021-04-04
24a6c79c-5f8f-4ff6-8dce-00612b64d5f7,98059.07,354,1807.34,61,47005.07,Positive,8569.29,92.34,3.92,Dinner,2022-12-17
ccfc5d16-e327-41d6-a7de-423eaa5edde3,41847.48,405,1139.55,67,4994.64,Neutral,8715.07,39.31,5.05,Auction,2024-04-07
3c5f27a8-fdff-4fd0-ac58-65b34b18db1a,96622.45,65,1474.74,448,26481.16,Negative,5940.31,25.38,5.51,Gala,2021-05-16
f2fe4cfc-4728-430e-a4c3-37ce8cd5f659,9199.65,383,1187.56,121,31549.06,Positive,1821.05,71.77,3.55,Marathon,2024-03-15
5b26a6a7-0cde-49a8-8404-b80e1ec3c833,25294.51,431,209.63,258,37691.51,Negative,8926.29,40.64,5.58,Marathon,2022-10-11
8bd60b19-8c99-4516-96ab-a9b0ceb61481,42971.69,297,1975.36,796,27107.55,Positive,8849.72,93.2,1.59,Marathon,2024-04-23
1679b783-b877-442b-be6a-9630e9a55a7d,2924.6,53,272.64,880,26872.5,Positive,1409.2,46.13,9.69,Marathon,2021-09-02
7fb11741-0e5f-4d64-bbac-f516b88d4d07,99558.58,116,482.6,958,6701.71,Positive,7918.57,16.73,8.7,Gala,2023-03-07
dffcaf4d-552c-46b5-a5df-ccba9953cfa2,27570.31,143,51.45,217,6567.1,Positive,4698.35,37.88,9.94,Auction,2021-08-26
3d7cc2aa-0f2d-47d1-a8a9-f30d4fe128be,89269.53,134,922.26,341,37750.93,Negative,8390.59,60.25,6.91,Gala,2020-05-01
dddc7fad-37f8-43db-a8d2-4bc16e42304f,52732.31,113,1181.47,579,39479.62,Positive,2444.17,58.08,5.03,Dinner,2023-07-16
db5b9607-309e-4b0b-8e04-9298d7339ac9,1561.15,352,571.24,300,22813.09,Positive,8199.78,21.54,3.37,Dinner,2023-09-01
864dc39b-2910-4a4c-96f9-82c8ba29a758,97413.47,50,275.2,198,34472.33,Positive,8334.46,63.76,8.99,Auction,2021-08-08
88cfa389-ee7c-49b6-81fa-f2ccc7cbb1f3,92254.7,173,1840.47,934,36398.71,Negative,4348.22,65.34,9.59,Auction,2022-12-17
54762e6e-d6bc-4efb-ba06-0775a7d8725e,89672.67,464,1053.65,147,33064.78,Positive,4399.81,11.47,3.74,Auction,2021-01-29
7e631461-d973-4b69-838b-5c4d3bd0f3f1,62451.06,435,886.67,446,8804.93,Positive,9646.28,90.11,6.09,Marathon,2020-10-12
644b76bd-232f-4ea2-8c13-413209a1a1c2,7487.9,346,591.33,737,15515.15,Positive,1496.48,58.94,9.74,Dinner,2023-08-22
988c9629-271c-4215-ac01-2f9a651ad544,3994.05,468,1343.13,173,28902.81,Positive,3050.46,25.43,0.49,Gala,2021-05-26
3bd93e4b-27da-413f-aa29-e66ddbedae98,1511.6,121,1251.45,467,5733.07,Negative,9270.8,37.14,0.12,Dinner,2020-11-29
d4ea6110-45d2-42f3-b82b-2f9c8dd95793,95716.85,432,1163.72,380,33966.96,Positive,8522.79,66.12,5.11,Dinner,2024-03-02
b9c16e51-e5ea-4c02-b969-696731d92553,19520.02,397,746.18,316,35844.75,Neutral,2526.28,12.61,6.65,Auction,2024-01-25
3cc20e36-f038-4ef3-a6ab-4e54500a464a,19780.96,164,363.75,659,41780.72,Neutral,4041.95,30.74,1.11,Auction,2023-10-27
78a33c45-b44c-4136-a056-fff7d3f3322a,90607.35,352,632.07,681,3080.02,Positive,3053.68,35.07,4.81,Marathon,2023-08-10
5143fd8d-7d69-4b75-a211-e2b0245beb38,54275.11,494,1886.82,972,40442.91,Neutral,2597.01,5.99,0.28,Auction,2022-01-05
c2d98ad8-ca99-4584-8b65-3550b30a15f2,65166.56,339,164.59,359,44571.16,Negative,462.45,68.54,1.14,Marathon,2021-08-11
9d97f0b0-652c-4b69-a469-8e003d18f2ca,45935.18,238,1903.52,429,43767.88,Neutral,1608.22,84.39,1.73,Auction,2020-01-23
f5e5ba13-ead5-4e6a-bb83-bcd65eaa0672,11238.16,243,600.17,60,18616.23,Neutral,5502.96,98.12,3.53,Marathon,2023-05-28
e3d78176-b9b5-40ea-8029-ce8025be18ee,49089.02,394,1998.34,243,38577.43,Positive,3799.21,98.13,3.58,Gala,2022-01-30
e102d454-a107-4145-befd-6f6fd63561eb,26875.19,365,1148.75,902,9299.72,Negative,1547.08,37.26,3.72,Marathon,2023-11-21
8b366ca3-4233-47dd-a420-99a49da708e2,91016.08,489,341.47,598,31693.59,Positive,9602.88,35.44,1.58,Dinner,2020-02-01
27f4be07-135f-4e76-bdba-8f37ed24e9a8,56862.34,200,400.91,321,49304.61,Neutral,5136.54,15.1,4.09,Auction,2021-05-01
fefac677-fd6c-4288-bc9f-cabecb7e10a4,29059.41,132,1372.38,915,30033.15,Positive,3073.13,41.97,2.3,Gala,2020-09-07
15262fb8-892b-4df3-a471-f0b0ea68a565,16997.56,321,241.57,207,11853.37,Positive,1746.93,59.42,4.44,Auction,2021-06-03
1d22bb79-7892-4540-8f21-a01b42554bce,38951.82,162,69.64,959,2069.62,Negative,2728.79,46.05,2.59,Gala,2022-06-24
2b78a675-9bb7-47d0-a92e-b63bc09a75a3,30384.82,290,880.62,49,10188.47,Neutral,5461.14,52.5,6.8,Dinner,2022-04-06
da7776f8-df6d-4ae9-95e2-0b3beefd7dc4,20767.67,323,1941.51,963,47541.86,Neutral,8315.52,20.73,0.87,Dinner,2022-12-16
17a2234c-f6d2-45e0-8995-7b2bf5bd902f,21613.99,289,1141.72,329,11758.21,Positive,6385.22,39.18,6.12,Marathon,2020-05-15
4d8d1db7-d35a-49d8-84df-d69c120c818c,12783.07,175,1231.22,961,23883.61,Positive,489.06,30.27,4.3,Auction,2021-09-27
bf7767b8-5fe5-404b-85f8-b5dc04cc7fff,64058.42,467,1707.08,40,49423.91,Neutral,9456.34,86.54,7.43,Auction,2024-04-07
37243020-71db-44ca-ae3e-be7a58841671,22272.45,149,505.45,805,23941.44,Positive,9098.05,56.8,9.86,Marathon,2022-04-04
9ba96a4b-542a-4c4e-b9a3-0c32e3f960e0,66587.79,299,1364.93,232,20283.45,Neutral,1993.12,20.63,5.23,Dinner,2020-05-25
8b9a73f2-b457-46c7-b7a3-b11709a725c6,85190.43,330,758.48,742,21975.9,Negative,9106.16,90.39,3.85,Gala,2021-06-22
13e4ae40-eb9b-4091-834b-8ecdbc9acf94,41116.23,120,186.31,138,41283.11,Positive,3381.9,18.01,7.7,Dinner,2024-02-15
e859664f-9e5a-4af7-bf8a-f5a96846c526,80794.35,426,440.1,621,29566.94,Negative,6451.46,94.78,9.42,Gala,2024-06-03
0854e822-9e9e-4b88-9ebb-c7ba90a19b19,68476.43,137,502.53,338,26396.86,Neutral,665.87,20.96,9.74,Auction,2022-10-13
819fd03c-baa0-4cd6-93d5-3e7c6fc80152,10733.04,473,818.25,917,46908.95,Negative,5182.45,95.25,3.36,Auction,2020-09-11
bacbe5bf-8ae6-4212-98fb-f9fa100c0b63,27580.24,472,453.47,605,45999.53,Positive,1409.11,73.51,6.26,Auction,2022-11-12
a9a7b4f4-36cb-412a-ad3b-b91f34fcfd08,89736.58,134,881.38,192,5670.99,Neutral,742.01,92.56,4.48,Dinner,2021-01-22
866315f2-8974-4753-95ad-a885a3cc84f9,73864.05,464,1149.14,385,3507.39,Neutral,9627.06,49.69,3.38,Dinner,2020-08-29
becd2a8a-43d1-43c1-95d3-2133b4474264,89195.34,464,25.59,727,29524.75,Positive,3601.11,49.83,1.37,Gala,2021-07-25
cdaeb7b7-4200-485c-98e4-b8d365b4c587,4889.55,188,1624.04,86,5704.65,Negative,5802.01,9.83,9.43,Auction,2022-08-17
90a8a24f-7ef5-4a8f-b5da-15ba615f50bc,61082.65,475,1135.73,647,29188.15,Neutral,9656.31,22.65,2.14,Dinner,2022-05-17
13c6a773-409b-425f-b63f-c9dc01034d58,13146.77,321,177.11,23,29816.79,Negative,9697.72,89.8,2.58,Dinner,2021-05-16
eb37b2f8-4cfd-477e-97f6-f32e0bd86675,59452.31,322,136.29,272,7385.3,Neutral,9164.1,38.52,3.19,Auction,2022-12-11
dd89af9e-5272-4942-a7b2-563d81e1879d,13515.39,94,1873.61,611,4615.84,Positive,5351.9,51.39,0.29,Gala,2023-02-08
4f97cd84-6860-4f59-aad3-3b1b76fe7f4d,54685.73,98,494.18,328,47116.44,Positive,2141.33,38.19,6.99,Auction,2020-10-20
60d1c684-1e65-4fe2-9cab-775fd8607dea,88138.42,466,1600.94,236,19648.21,Positive,1093.05,89.62,9.75,Marathon,2021-06-26
fb2c33be-cbf0-4f6f-8661-f168be7c6c1b,60437.18,392,101.92,551,14201.67,Positive,1272.35,85.82,6.55,Gala,2024-04-12
52d6a555-22f3-4eca-82d3-5bbab78fb29e,98807.64,274,374.88,355,18292.82,Neutral,7650.4,91.66,5.8,Auction,2022-04-19
97d03435-9cb2-43f8-9cd3-fd440fe9e17c,88997.0,425,654.01,911,18572.88,Neutral,221.03,6.39,9.06,Marathon,2024-05-21
20050751-b517-4d94-9d3b-2809216bdd0f,2387.79,409,78.12,971,48093.96,Neutral,207.77,37.63,9.99,Gala,2022-03-11
bf2bb5be-5210-418c-9f95-cbb1e3aadc3f,21528.22,428,1735.78,947,33135.84,Negative,6713.34,97.84,4.53,Auction,2020-03-08
149c2298-3300-4c8f-bfec-0d9a353fd947,19287.85,244,1319.91,419,8134.17,Negative,9670.26,73.59,0.36,Dinner,2021-01-20
1b18a3af-211a-4456-aae6-d7dcf6ea04e3,77970.52,132,1326.91,196,40188.79,Negative,5035.5,14.97,9.73,Dinner,2021-07-23
b7df461e-a1fd-4036-a82a-ad824e8819d7,93605.71,247,1773.0,382,13551.36,Negative,6979.42,31.86,0.49,Auction,2022-06-24
4735ca26-7dfb-4b6d-800c-e94655e1089d,65541.86,425,724.54,849,18884.65,Negative,9582.39,77.45,8.21,Gala,2020-10-08
50d6b705-8589-4527-84b6-39993acfc3e0,79642.71,371,1994.51,514,6502.51,Negative,4840.72,62.06,5.08,Gala,2020-05-10
dc78a051-0794-48d8-8d47-c4b6f56990b2,97732.43,269,565.21,726,7610.86,Negative,5018.34,42.29,7.31,Auction,2023-08-02
048f0692-68aa-4bb1-83a4-aec16bc2218f,10827.66,111,78.0,718,5863.27,Neutral,6274.54,13.7,3.13,Gala,2023-03-26
cb71c8a6-198e-4e96-841f-447484ad0312,24964.26,178,1445.41,139,32813.56,Positive,6175.95,96.33,1.54,Auction,2022-09-01
b46239c0-417c-4aed-b4fa-c4aee44a8249,47015.3,296,1808.43,101,23169.54,Neutral,9695.04,96.39,9.2,Dinner,2020-01-24
e73a3ff0-4841-46da-89a9-63eb1a7bce2c,57350.22,419,1363.35,185,48502.42,Positive,7934.76,19.15,4.86,Gala,2024-04-24
e4fc2ed8-afa9-401f-8f9c-44a9cb29bd05,63399.54,469,243.02,234,7722.71,Negative,3515.45,78.86,9.53,Dinner,2020-04-22
da53e6ce-84fe-4270-8fae-cff0d806a20c,87307.58,70,469.41,503,31624.9,Neutral,6098.85,58.95,6.63,Dinner,2021-04-28
0a4388a1-73b5-477f-9d81-a231f2182d58,78319.38,392,616.14,81,1990.0,Positive,912.4,75.44,8.78,Marathon,2024-01-08
89f13310-acec-458a-aeea-478f585d24ca,92907.67,245,1881.67,850,29641.15,Neutral,2076.33,14.13,8.0,Marathon,2022-09-30
3be13b80-51d0-4d7d-a8f3-33cb64bc0232,40612.14,204,570.33,388,29267.97,Positive,4111.41,16.78,3.37,Marathon,2023-05-11
a7571347-227b-4fe9-8c90-2882a14f83b4,38913.15,307,759.56,21,14433.28,Neutral,9096.21,53.5,8.84,Gala,2023-10-03
0fe0a9f8-89e2-4784-9f1a-862393371897,45633.42,200,429.88,111,40421.02,Neutral,2194.23,99.08,8.53,Auction,2023-12-15
143c4917-03b7-432e-92cc-122e787e75c4,52885.79,116,218.39,257,28144.17,Positive,3453.62,98.88,1.39,Marathon,2022-04-03
23c13716-89a7-48a0-bfb0-92c65563f4b6,56160.09,449,1305.39,88,14526.22,Neutral,8126.07,68.69,8.51,Auction,2023-12-14
6d2a6657-b587-47ee-90a0-8be83163df52,83790.41,133,1414.5,686,32663.01,Neutral,7188.82,91.57,1.41,Dinner,2021-08-26
6e2d430c-0038-465a-afd8-c06693b3be99,48063.27,297,868.62,938,11350.4,Negative,1995.89,71.66,2.59,Dinner,2020-04-20
73e62958-356b-481b-80cf-cb98ac22334f,84915.98,440,82.21,654,16102.24,Negative,1174.2,77.77,2.47,Auction,2023-12-20
eb6fd270-8fd8-430c-937f-89f73a7e56ad,99154.53,272,1653.7,653,5839.79,Negative,7803.53,20.04,2.39,Dinner,2020-10-02
4501f80c-9c7b-4342-9070-b204fff2a33e,8014.21,451,677.36,382,25156.29,Neutral,9046.0,34.35,9.68,Dinner,2024-03-01
cbd9de95-0037-423d-b4ac-427434ef745e,26493.56,147,1488.08,703,33828.87,Positive,5794.68,47.36,8.66,Gala,2020-04-01
350fda9c-a899-47b1-a4f4-15325e8ea3aa,28790.85,462,1493.16,407,17513.64,Negative,8370.55,41.75,5.01,Gala,2020-05-01
f4ae847f-d502-4b87-8b0e-17de94bfa4d0,75452.7,120,1617.24,207,16513.75,Negative,9382.24,34.92,3.18,Gala,2024-02-11
51302d95-24b3-4463-a631-e9db0cf50bd9,60085.43,442,1906.38,784,20613.11,Negative,1099.21,11.26,3.2,Dinner,2022-10-23
acfb72aa-a47f-4a91-97fc-670458fdd777,96647.14,120,1680.02,852,11969.09,Negative,9596.47,46.32,1.3,Gala,2020-08-21
0ab405e2-297e-4d38-8317-9f56bd65b872,57096.18,376,1382.87,425,24343.11,Negative,4677.14,42.4,8.74,Marathon,2024-03-01
c9907fee-5660-4fca-9c83-e265f6827c6c,79261.37,299,844.08,380,47514.96,Positive,8835.54,40.27,6.23,Gala,2022-01-20
410d53b2-a830-40e3-a171-7ce82f836b18,15329.53,216,233.61,117,41399.86,Negative,2360.3,38.45,2.87,Dinner,2021-09-09
a930f1cc-7005-4c12-b146-2c60d6452fe6,32007.07,332,1641.53,236,18179.06,Neutral,5082.74,10.91,9.81,Dinner,2022-03-21
18d4c692-7539-418d-8d41-de3f94f68ff2,54305.72,313,980.11,671,8259.19,Positive,682.0,11.77,2.6,Gala,2023-10-12
0e974ca4-a517-4d8c-9b3c-39388b3e6222,3905.37,116,93.88,725,46845.71,Negative,600.58,73.29,0.2,Auction,2020-03-01
74e33313-751a-4516-9fbf-054845e8557c,46093.47,72,1175.4,433,42695.18,Positive,4137.63,34.47,4.04,Dinner,2024-02-12
0bdcd783-c394-4dfd-a4bd-fd53c0720d1d,83427.84,324,1071.27,651,15202.42,Neutral,3388.05,32.23,3.13,Dinner,2020-11-18
63358412-98e6-4ca3-bc85-a21b0beb242d,71318.12,267,1886.35,102,39053.58,Positive,7157.12,34.0,7.23,Marathon,2022-09-09
23f111cd-3926-4c26-9ba3-13c031a86202,74443.36,400,241.24,288,4138.2,Negative,3953.36,83.67,8.67,Dinner,2021-01-20
2191de85-9c61-474d-9311-f1032a099ce8,78347.48,428,1779.45,815,26631.91,Positive,8225.54,86.19,2.67,Dinner,2024-01-21
8aa58499-8f5a-4893-937a-7a09bd0afe17,77867.37,274,962.55,168,12680.66,Negative,525.87,7.2,4.56,Auction,2023-09-26
f0010754-d94f-49f6-b7a3-e70a71562d7a,15126.51,494,722.65,382,4709.33,Positive,4326.19,12.08,8.05,Dinner,2024-03-20
409b17f3-7187-4243-86c8-48ad8265e4ed,80056.44,102,1489.96,74,45423.63,Negative,4153.73,70.93,6.49,Auction,2021-12-19
ce3c980f-a4ec-4f90-bb87-d11e154f82ea,88795.62,357,870.82,678,32175.56,Neutral,7799.88,80.45,3.98,Auction,2022-11-30
