Donor ID,Age,Gender,Location,Income Level,Donation Amounts,Frequency,Date of Donations,Donation Channels,Donor Segmentation,Event Type
8b647701-228a-4054-b481-99b3079c72c8,68,Female,Richardland,High,747.32,Annually,2022-11-27,Online,First-time donor,Dinner
c41be8b7-1fca-4ccf-a9d2-b676264ae9f1,67,Female,Lisachester,High,236.57,Monthly,2023-08-16,Online,Major donor,Auction
2c377d95-d3d3-49a9-9396-490e95a0333b,67,Male,Port Amber,High,372.54,Monthly,2020-04-15,Mail,First-time donor,Dinner
ed1ffe48-f675-48a3-9982-6b7853212540,31,Male,East Lisa,Low,718.65,Quarterly,2023-04-19,Mail,Repeat donor,Gala
53bb9477-7541-4594-b3c6-e1d5f1364a2f,57,Female,South Melissafurt,High,867.29,Monthly,2020-08-27,Online,Repeat donor,Marathon
0b7a2eb7-2489-4db8-9b02-aa783f92052f,27,Female,Gallagherfort,Low,811.05,Monthly,2021-03-09,Events,Repeat donor,Auction
523f14db-a1f4-44b0-961f-adfbbd2a193b,71,Female,Lake Walter,Medium,514.33,Monthly,2022-05-28,Online,Major donor,Auction
28a55e78-2289-42a6-8c1d-1975686f1a89,37,Non-binary,Lake Jeremyberg,Low,315.64,Annually,2020-02-13,Online,Major donor,Dinner
a1f932c1-7c64-47b3-b23f-7d2375dab65e,78,Non-binary,Camachoton,Low,159.91,Annually,2023-07-05,Mail,Major donor,Gala
305ab974-966e-4760-9e26-9f4ab44ea509,62,Male,Joshuamouth,Low,788.99,Quarterly,2020-01-11,Events,Repeat donor,Dinner
2a5e6323-1331-4714-9c1b-638650043f73,36,Male,Arnoldton,Medium,646.86,Annually,2023-03-17,Events,Major donor,Gala
e8ca267b-f444-4556-860e-7b297c427404,70,Non-binary,Lake Caroline,Low,13.24,Annually,2023-01-25,Events,Major donor,Dinner
b7f3d0a5-7d8b-46a1-b37e-16ed13f3b25e,40,Non-binary,West Victoriaport,High,988.4,Quarterly,2022-06-09,Online,First-time donor,Gala
9f824fc2-bf71-4977-9ad4-cefda11f33cb,49,Male,North Nicoleborough,High,835.63,Quarterly,2022-09-23,Mail,First-time donor,Gala
ceaee01f-ebd4-4722-b05c-8414a8ff497d,39,Non-binary,Nelsonland,Low,999.84,Annually,2022-11-10,Events,First-time donor,Auction
af2208db-9c94-4ec4-a324-b73919698f48,51,Non-binary,Kathleenport,Medium,221.95,Quarterly,2020-05-07,Events,Major donor,Auction
9d4df26f-086a-4a29-8d0f-f6f4d9fa4c86,43,Non-binary,Alexanderstad,Low,933.21,Quarterly,2021-06-18,Online,Major donor,Marathon
a8bf8eca-cbc5-4af1-8c88-192e590088f8,27,Male,South Rebecca,Medium,585.66,Annually,2022-03-15,Mail,Repeat donor,Marathon
b3c63726-996f-4364-96aa-b30e31acfd68,24,Female,West Thomasburgh,Medium,737.13,Quarterly,2024-05-08,Online,Repeat donor,Gala
dae67da6-8dcc-410a-ac9f-86dcf903aba8,55,Non-binary,North Victoria,Low,589.17,Monthly,2021-03-11,Events,First-time donor,Marathon
95c18871-d327-4005-86a1-4a07b65fdc63,25,Non-binary,East Brenda,Low,154.19,Quarterly,2021-05-03,Mail,First-time donor,Marathon
bab773c0-56ef-45d6-92b7-30fbab46b888,57,Female,West Rebecca,Medium,992.4,Monthly,2022-12-30,Mail,Repeat donor,Marathon
2c8f2e27-4605-47ca-8d7b-f2c87d7491b1,32,Non-binary,New Jessica,Low,38.27,Quarterly,2022-12-06,Online,Repeat donor,Auction
a26fe450-4d7a-4e1e-82de-663c8c161c1d,44,Non-binary,Lake Todd,Medium,596.34,Monthly,2020-11-26,Events,Major donor,Dinner
a319b99f-eaf2-4a04-b04b-ab338c89a55c,18,Non-binary,Williamhaven,High,943.8,Annually,2020-06-11,Online,First-time donor,Gala
6a873060-4e56-4185-ad37-bc2624c2a4f2,43,Non-binary,Thomaschester,High,818.21,Quarterly,2021-05-15,Online,First-time donor,Marathon
e4f246fd-f49b-4e75-aa39-06e0fac6a2bb,74,Non-binary,Wilcoxberg,High,868.57,Annually,2024-04-23,Mail,First-time donor,Marathon
cc4042ac-8c96-4a63-affb-4c8b9cac2b96,56,Male,Amberton,Low,144.86,Annually,2024-03-29,Mail,Repeat donor,Dinner
2b204b28-292e-40c8-8fa6-53143ba532c3,73,Non-binary,New Ashleyborough,Low,882.18,Monthly,2022-09-30,Online,Repeat donor,Auction
1af3db5d-73cd-4cc0-9d4d-561b37ee950c,19,Female,Port Monicaborough,Low,19.14,Monthly,2023-04-15,Events,First-time donor,Gala
2af2aaea-ae1c-42d3-8dbc-c5edffd88462,60,Female,East Christopher,High,451.99,Quarterly,2024-01-25,Events,Major donor,Gala
c3534d43-a4e3-43f7-aee7-33b9b873ec49,33,Male,East Linda,Low,728.46,Annually,2021-05-15,Online,Major donor,Dinner
8d29ca47-2fb2-4066-bb22-b775660621a9,61,Non-binary,Lake Craigborough,Medium,55.69,Quarterly,2021-12-08,Online,First-time donor,Auction
c8a843ef-6541-4129-a951-979c2d892b42,19,Non-binary,West Linda,Medium,729.14,Quarterly,2022-07-22,Online,Repeat donor,Gala
c8e7e129-63b2-4b96-afea-2e212c8baf7c,21,Female,West Diane,Low,380.23,Quarterly,2020-05-14,Mail,First-time donor,Dinner
1ca20b43-4c1a-4704-8306-e4dede927a88,26,Female,East Joseph,High,880.71,Monthly,2024-02-21,Mail,Major donor,Marathon
0b5bf7bf-a2da-4fd3-aac2-6ac387f23ed1,70,Non-binary,Coxfort,Low,716.1,Quarterly,2022-10-06,Online,First-time donor,Gala
3fab710a-f09e-41a4-8a0c-e8e472276742,48,Male,Port Robertberg,Medium,332.51,Monthly,2020-03-21,Events,First-time donor,Marathon
e43f2795-9797-44f8-ae03-44d7ae108796,52,Male,Lake Robert,Medium,119.97,Monthly,2020-05-21,Events,Repeat donor,Dinner
5a1a582a-a730-4ba2-bc50-b4f4a37fdc46,76,Male,Lake Michael,High,760.35,Annually,2022-04-05,Online,Major donor,Auction
4cebcd10-461b-465e-aeb4-43c0cf47001b,63,Female,Andersonhaven,Low,676.29,Monthly,2023-04-22,Events,Repeat donor,Dinner
872b26b7-9159-4d36-970e-d4aa38e266eb,80,Female,Thomasberg,High,716.62,Annually,2022-07-29,Mail,Major donor,Marathon
25b49761-1df1-4cea-b924-1cae03772778,29,Male,Ianmouth,High,651.26,Quarterly,2021-04-06,Mail,First-time donor,Gala
cf547e4a-4d86-43b3-940a-778a912eeed7,39,Non-binary,Michealstad,Medium,107.9,Quarterly,2021-12-26,Mail,First-time donor,Gala
53c4a22e-e313-4d60-bbc5-be85c11fbad0,49,Female,South Taylor,Low,512.9,Monthly,2021-08-16,Events,Major donor,Marathon
730915fd-ef18-4c80-9551-a5e9314e477b,65,Male,East Judithberg,Low,630.48,Annually,2022-04-22,Events,Major donor,Dinner
73786f39-9327-49dc-ae10-0d2fa4c3a30e,62,Non-binary,Danielborough,High,591.7,Quarterly,2024-04-19,Online,First-time donor,Dinner
dba1c013-5a8a-4285-aeaa-c7f78f82c3d1,61,Non-binary,North Samantha,High,554.23,Quarterly,2024-03-19,Online,First-time donor,Dinner
16f282ec-c3ef-4910-8dd7-fd1f2e60686f,55,Non-binary,Port Wayne,Low,782.09,Monthly,2021-01-15,Events,Repeat donor,Marathon
1490fd35-3842-4e44-a35a-7af8fcbcd355,49,Non-binary,Gambleton,High,433.94,Quarterly,2021-11-22,Mail,Major donor,Dinner
30924071-cb60-47cf-a929-4600520def09,74,Female,New Cindy,Low,315.0,Quarterly,2022-09-21,Mail,Repeat donor,Auction
3db2b1c1-2380-40d3-9867-03762b30473b,43,Non-binary,West Kimberly,High,395.16,Annually,2020-02-15,Events,Repeat donor,Dinner
706568b0-56ef-4c66-8c7a-2535127cacfc,56,Non-binary,South Davidshire,Low,814.39,Annually,2023-10-26,Mail,Major donor,Gala
bff88b67-2370-49ae-993f-3b41ea41af54,34,Male,Kaneton,Low,866.02,Annually,2022-01-02,Mail,First-time donor,Gala
68d5b83e-a96a-44d7-aff8-cd58e69c0ec7,32,Male,Juliachester,Low,682.21,Monthly,2020-06-16,Mail,Repeat donor,Dinner
39d98b9a-3585-4815-8337-09df26cd92cf,35,Non-binary,Nguyenbury,Medium,521.9,Quarterly,2024-02-17,Events,Major donor,Gala
8f48900a-98f6-4c2f-a543-275d4f1415d5,59,Male,Rogerstad,High,214.06,Quarterly,2020-07-04,Events,Repeat donor,Auction
aaba1070-1eba-47ba-a435-4ba5262db646,18,Non-binary,West Traceyshire,Low,314.97,Monthly,2021-06-04,Online,First-time donor,Dinner
0c4e1b43-bb76-41be-a8fb-1a78e8a9de17,21,Female,Phillipside,High,925.48,Quarterly,2020-05-09,Online,First-time donor,Dinner
02b899a1-6409-44bf-aa4f-1a3c98aad7fa,32,Female,Mooreborough,Medium,199.09,Annually,2021-10-05,Events,Major donor,Gala
e4108850-0559-482c-a415-892c5f466691,44,Male,Phillipsburgh,Medium,415.73,Monthly,2021-10-10,Mail,Major donor,Marathon
a32b0cca-23bd-430b-bb7f-663b1073222d,47,Non-binary,New Heather,High,413.67,Annually,2021-03-18,Online,Major donor,Dinner
98ab812c-9e2a-4157-a825-1d4aa8a9d916,52,Non-binary,Welchmouth,Medium,844.51,Annually,2024-03-02,Online,Major donor,Auction
1492a1d8-8860-4142-b986-262a7b2c5265,30,Non-binary,Dorisport,Medium,662.68,Annually,2022-09-19,Events,Major donor,Auction
b94db068-9aab-4ead-90c5-a2ff969ec59b,48,Non-binary,East Elizabethmouth,High,678.84,Annually,2024-05-05,Online,Major donor,Marathon
1030d80b-6f25-405b-8e4a-17ba99df5bcd,26,Non-binary,South Jason,Medium,270.16,Annually,2021-03-27,Mail,Major donor,Gala
43efc280-9fb5-45c5-bb1f-7178af2b3077,66,Male,North Susan,Medium,119.43,Quarterly,2020-02-07,Mail,First-time donor,Auction
03658f7c-72fe-4241-9607-2bcc8c74a225,34,Female,Port Matthew,Medium,314.12,Quarterly,2023-01-26,Mail,Repeat donor,Gala
a1baeeb8-e38e-4c2a-aa12-6df8848a92d9,51,Female,Mcmahonbury,Medium,44.75,Annually,2021-09-13,Online,First-time donor,Auction
f4d64380-0af3-496c-a6ac-7eafcade862c,31,Non-binary,Craighaven,Low,479.46,Annually,2020-07-02,Events,Major donor,Dinner
b55e67a4-f208-40b1-9b62-5f5fa8a685bf,76,Non-binary,Michelleshire,Low,733.82,Quarterly,2022-06-22,Events,First-time donor,Dinner
11106554-be86-4939-8ece-449b9aa64ec6,35,Non-binary,New Brianmouth,Medium,911.18,Annually,2020-10-19,Mail,Major donor,Dinner
46e6662f-8c65-4d8a-b9c4-22dac47fd768,34,Female,Johntown,Low,779.55,Quarterly,2020-08-15,Online,Major donor,Dinner
f221d04b-0b6d-4710-884a-c6264a7bea6c,48,Female,Lake Stevenbury,Low,772.93,Annually,2021-07-27,Events,First-time donor,Marathon
74ae8d8c-b7bd-4597-a246-cb13660cda11,32,Non-binary,East Anthony,High,965.24,Monthly,2024-03-02,Mail,First-time donor,Marathon
643e0f5f-5282-40ec-bbb2-955b89bfaa3c,74,Female,Port Barbara,Medium,727.0,Annually,2021-12-13,Mail,Repeat donor,Auction
315bc1b9-3094-4e8f-9628-8ac97a1dc2e1,71,Female,New Bradleyberg,High,539.91,Monthly,2024-04-02,Mail,Major donor,Auction
98f27d73-2cdd-4d83-b3bc-90e27ed232ce,63,Male,North Curtisfurt,High,954.68,Monthly,2023-04-14,Online,Major donor,Auction
f630a2a4-3500-423e-b63b-e1946a638f62,32,Male,New James,High,257.64,Monthly,2023-04-11,Events,Major donor,Marathon
6a3ec749-0c8f-4f02-b406-0b3a4c839348,36,Male,Youngmouth,Low,73.23,Monthly,2023-03-27,Events,Major donor,Marathon
757b94cb-02cc-46e1-b85a-124574ee3465,29,Non-binary,Deborahport,High,711.93,Annually,2020-12-19,Mail,First-time donor,Dinner
217afcbd-2281-464e-abb8-359945bf4bd6,77,Female,Kirkville,Low,517.96,Annually,2020-11-19,Mail,Repeat donor,Marathon
0a170ed6-264a-4ea2-bca2-21b0e61c2f9c,59,Non-binary,East Joel,Medium,965.21,Quarterly,2022-11-30,Events,Major donor,Auction
aa5accd1-6dc6-4777-86af-b0af88a1e519,48,Male,Stewartfort,High,185.34,Monthly,2021-07-01,Online,Major donor,Auction
cf4cdba2-0890-41d5-83d3-f5693923a31d,42,Non-binary,Barrettton,Medium,703.17,Quarterly,2021-03-13,Mail,Repeat donor,Dinner
2c5e811d-3008-4958-b0d6-1c22bb1007de,20,Male,West Kevintown,Low,904.15,Annually,2022-11-02,Online,First-time donor,Gala
09917ce0-41ef-4c42-b9b1-0cac31bd7be0,27,Female,South Rebeccaview,Low,884.24,Quarterly,2020-10-04,Mail,Major donor,Auction
13f9fa55-bdcd-419e-9620-ad0b093b9816,69,Male,New Jamieshire,Low,911.07,Monthly,2021-04-12,Events,First-time donor,Gala
3ffe632e-ca86-4fee-a154-5f833cb27b53,46,Male,East Kylie,Medium,850.08,Quarterly,2022-06-15,Mail,First-time donor,Marathon
232b0eb7-85dc-4cd0-827b-05e93b7123b3,30,Female,West Amber,Low,522.02,Quarterly,2020-05-28,Online,Major donor,Dinner
7e32cbb1-6548-498e-92ab-27b915ad0694,69,Male,West Isaac,Medium,300.78,Monthly,2023-10-27,Online,Major donor,Auction
ec1ec80b-e8fc-4041-b8dc-e58a5fd0a75e,20,Non-binary,Grahamshire,Medium,141.11,Quarterly,2021-03-31,Online,Major donor,Gala
b8bca2b5-943b-4719-b557-2fb83f73dd2e,21,Male,South Jefferymouth,High,584.81,Annually,2024-03-10,Mail,Major donor,Marathon
46316447-36df-4da0-8172-151d460a9b8d,69,Female,Allisonshire,Medium,426.1,Monthly,2022-03-01,Mail,Major donor,Gala
cba43a21-c755-4716-bd3c-ccb339ba69cd,64,Female,Lake Lorimouth,Low,441.73,Annually,2023-02-05,Mail,First-time donor,Dinner
83ea6688-92bc-43c2-b721-9f23daca8972,20,Non-binary,Jenningsview,Medium,716.65,Monthly,2023-06-30,Events,First-time donor,Marathon
6ad8cb0d-45ad-46a6-8ca5-15df5eb5cfaa,70,Male,West John,Medium,855.3,Annually,2024-05-20,Online,Major donor,Dinner
d9294fb3-c82d-4e1b-9fae-e45b30984c3e,76,Non-binary,West Tanyamouth,Low,777.75,Annually,2021-07-14,Online,Major donor,Dinner
1dbf60b1-67f8-43e7-a4b1-327a77bb3404,74,Non-binary,Lake Brandon,Low,302.51,Monthly,2020-03-21,Events,Repeat donor,Gala
cd37f3d3-f890-46f1-8937-08160bdc1de3,24,Female,Georgeview,High,955.28,Annually,2020-03-04,Mail,First-time donor,Marathon
2490548c-f100-49df-978b-b3f0f86da702,29,Female,Davidview,Medium,648.3,Quarterly,2020-06-02,Mail,First-time donor,Auction
a340d43a-c530-460b-a9e6-9111eaa0b5d9,68,Female,Erikland,High,542.98,Annually,2022-11-06,Events,Major donor,Marathon
28357ebd-13b3-439c-95d4-ea2f64b40687,57,Female,Nancymouth,High,149.22,Quarterly,2021-06-28,Online,Major donor,Gala
2a10c6cd-653a-450f-8c57-1686ae673b43,55,Female,Port Alexa,Low,762.53,Monthly,2020-07-11,Events,Major donor,Marathon
2dd98ff1-8339-4450-a3d9-25131883cd64,31,Male,Port Jennifer,High,147.3,Quarterly,2020-03-27,Online,Major donor,Dinner
9000caa5-6b4e-4e84-82ac-0b6c749a764d,40,Female,Zimmermanhaven,High,808.49,Quarterly,2020-12-23,Events,Major donor,Dinner
6a0ec8aa-8702-4f17-8495-e80a7b7cdbfb,20,Male,Lauraland,Medium,239.36,Monthly,2021-07-03,Mail,First-time donor,Dinner
1effb8e8-d6d1-4657-9cf7-1abef89f1749,77,Male,Christopherville,Medium,200.97,Quarterly,2021-11-23,Mail,Repeat donor,Dinner
fd1f2e1f-1d22-4024-a4dd-954ad9b8ce40,79,Non-binary,Lake Danielle,High,140.07,Annually,2022-05-29,Mail,Repeat donor,Auction
2a91d9f0-5a42-43bb-8875-3f7d827e4637,40,Non-binary,Jenniferton,Medium,763.46,Quarterly,2022-06-18,Mail,Major donor,Gala
2060e0b5-4dd0-4c7a-b890-2cc38adc7d55,46,Female,Waterschester,Medium,628.56,Monthly,2023-09-16,Online,First-time donor,Auction
d0e1e21d-d0d6-4b23-9b20-397b51eb8e51,42,Male,Port Janetstad,High,470.83,Quarterly,2021-06-25,Events,Major donor,Gala
b6e6ceb2-b6de-414b-b5e8-73ae26da2dd9,19,Non-binary,Jenniferview,Low,618.74,Monthly,2020-02-28,Mail,First-time donor,Dinner
b57caf2c-9e5d-49b7-bc07-b27bc59a7736,65,Female,Rangelview,Low,19.98,Monthly,2021-05-27,Events,Repeat donor,Marathon
3961f47f-724d-4b44-b3da-1e161963d323,34,Female,Millerside,Medium,742.11,Quarterly,2023-03-06,Events,First-time donor,Auction
3c1cbf73-4e7b-4920-822b-9eea8d29d3de,21,Male,Lake Karenborough,High,785.79,Quarterly,2023-08-30,Events,Major donor,Auction
cd1eccd2-0a9f-4b83-a983-1148314ccd7a,58,Female,Lake Robinland,High,836.1,Annually,2021-08-07,Events,Repeat donor,Gala
302ce70a-ea23-4d16-b981-fcecef683cac,63,Non-binary,West Terri,Medium,258.51,Quarterly,2023-01-09,Events,First-time donor,Auction
b4effaf5-524e-445e-8bb2-0d9a0517e609,71,Female,Penningtonbury,High,915.82,Annually,2021-08-06,Mail,Major donor,Dinner
c090b4a3-1937-4709-ad72-77335178e36c,66,Non-binary,North Edgarhaven,Low,36.23,Monthly,2023-06-11,Online,Repeat donor,Marathon
c05950ad-9004-4132-a1db-3ab2de4613cf,45,Female,Lake Melissaborough,High,746.13,Monthly,2023-07-22,Events,Repeat donor,Dinner
58316210-8466-47f7-b515-2ca5022543cf,20,Female,South Samantha,Medium,815.38,Monthly,2021-11-07,Mail,Major donor,Auction
c5ece920-41b9-45f9-823e-9559e6263f1e,38,Female,Lake Miketown,High,627.17,Quarterly,2021-09-26,Online,Major donor,Gala
fe2713ba-0591-4263-aace-5ad32d5a50b4,41,Non-binary,Walkerborough,Low,806.08,Quarterly,2022-05-31,Events,First-time donor,Dinner
eec73618-412d-497b-93d4-c23997dda7b6,34,Female,New Laurenton,Low,36.55,Monthly,2022-10-13,Mail,Major donor,Dinner
158fb65c-6ec8-4903-9027-7dc7827af945,23,Male,Port Samuelville,High,670.52,Quarterly,2022-12-06,Online,Major donor,Marathon
cacfe107-9883-445e-9f68-b920bf9c06c9,53,Male,North Rebeccashire,Low,541.11,Annually,2023-11-05,Mail,Major donor,Marathon
a18243ac-0570-4baa-bed7-9e77bbdbf62b,40,Non-binary,North Glennstad,High,287.54,Quarterly,2024-04-14,Events,Major donor,Marathon
f0a33ed7-9ac0-45f6-adbc-d5e70c7849c1,34,Non-binary,Patriciachester,Medium,777.22,Annually,2023-07-25,Events,Repeat donor,Marathon
53f52b78-d296-45fd-9e59-c91cd32d4a7a,55,Female,Pamelaport,High,259.0,Annually,2021-01-05,Events,First-time donor,Gala
9a5df863-ef08-4ec8-aa80-3f6d539eb240,67,Non-binary,Mcclainberg,Low,971.98,Annually,2022-01-13,Online,Major donor,Dinner
41d55b6a-8806-4029-828c-4c10efa0d770,20,Non-binary,Wallaceborough,Medium,339.01,Monthly,2023-02-03,Mail,Repeat donor,Marathon
1af09c1c-6b6b-4600-90a4-f2100593623e,42,Non-binary,Smithberg,Low,965.6,Annually,2022-11-28,Events,First-time donor,Dinner
cb5a509a-7a6f-4e2b-aefd-e483f9a4c99e,29,Non-binary,Armstrongchester,High,652.99,Monthly,2021-03-01,Online,Repeat donor,Marathon
888d7af9-69f4-41b0-ad13-f370f9fe0a18,49,Male,Port Williammouth,Medium,214.64,Monthly,2023-05-31,Online,Repeat donor,Dinner
3ddfd96b-613c-453b-be29-d32bc7371d23,42,Non-binary,Holmesfurt,Medium,429.37,Monthly,2020-07-20,Online,Major donor,Marathon
bf5927ea-5578-44c6-b1eb-0670d6feb797,45,Female,Guzmanburgh,Low,217.05,Monthly,2021-10-09,Mail,Repeat donor,Gala
b8837707-6240-4993-bd60-3a594f2d5e71,40,Female,New Craig,High,783.87,Annually,2023-03-14,Mail,Major donor,Gala
d39c3cda-7cfb-41fe-ae86-610a4bd669ab,42,Male,Lake Jillian,Medium,150.8,Monthly,2022-03-03,Mail,First-time donor,Auction
775486be-d81d-44db-94f9-f03073f61618,66,Female,West Whitney,Medium,844.96,Monthly,2021-07-02,Events,Repeat donor,Auction
b2adedbc-eeb8-4e81-9abc-8a03a4b77470,49,Female,Port Marissaview,Medium,107.54,Quarterly,2024-02-07,Online,Repeat donor,Dinner
2009ae37-06d1-485d-a890-ba824a81ee22,67,Female,Clarkburgh,Low,654.53,Monthly,2021-05-08,Online,Major donor,Dinner
07025b1d-dedc-4d6a-8a2a-babdac0df82e,63,Male,South Christymouth,Medium,396.77,Quarterly,2020-08-10,Events,First-time donor,Auction
8f97c84c-553d-43c9-a919-b9362ccc7c04,40,Female,Randallfort,Low,369.29,Monthly,2020-02-02,Events,Repeat donor,Dinner
670d46d9-8ef8-4489-9a2f-0a8a07b3cbdd,79,Non-binary,North Angela,Medium,527.82,Quarterly,2022-03-04,Mail,Major donor,Auction
c0fde47f-e3ee-4daa-9922-dd6d5567cd06,74,Non-binary,New Adamtown,High,690.78,Monthly,2022-07-31,Mail,First-time donor,Marathon
f0dcbca9-3dea-4484-b184-950e3324e9bf,50,Female,Dannyhaven,Low,995.25,Annually,2022-08-20,Mail,Major donor,Dinner
15a9fc7b-0b05-4e0c-8918-04fd90bc000d,56,Female,Williamsberg,High,213.24,Monthly,2023-06-22,Events,Repeat donor,Dinner
974c95b4-4a65-4d19-ae50-9fc3518266b9,72,Female,Williamhaven,Medium,13.05,Annually,2024-03-31,Online,First-time donor,Gala
ed81d8ab-a0cb-44c3-ade4-f3b8087d1c80,79,Non-binary,Reedstad,High,417.5,Monthly,2024-01-24,Online,Major donor,Dinner
4fec9713-0f8a-40b6-ae48-13bb9f827af9,41,Male,South Dustin,Low,36.72,Monthly,2022-04-11,Events,First-time donor,Dinner
601d4df3-4e8e-46c5-bbaa-1454844465e6,60,Female,Tinaburgh,Low,331.3,Quarterly,2021-11-30,Mail,Repeat donor,Auction
af9e419b-eb45-490b-898f-09f8bf8a98fb,43,Female,Port Linda,Medium,164.76,Quarterly,2021-10-07,Mail,First-time donor,Marathon
e298c965-4fcd-4708-8ed0-bc6755cc39cb,23,Female,Sarahborough,Medium,481.94,Quarterly,2023-05-31,Online,Repeat donor,Dinner
8919add4-ed5f-454b-8df5-ef30aa7970a8,43,Female,Lake Jared,Medium,802.88,Monthly,2021-09-16,Mail,Repeat donor,Gala
ccc4a93b-c417-4d68-8547-fe7813351da6,50,Non-binary,Bradleyhaven,Medium,942.08,Annually,2022-04-18,Mail,Major donor,Dinner
eba8eb02-f0a1-425a-a03a-0120e133e49e,28,Female,North Hollyberg,Low,905.5,Annually,2023-04-27,Online,Repeat donor,Dinner
d6b3507d-1994-4e1c-beed-d7b33e80ff33,58,Non-binary,South Tiffany,Low,322.69,Monthly,2020-08-05,Mail,Repeat donor,Gala
0c833107-4360-4637-b0e1-7dd89b402ec4,77,Male,Williamchester,Medium,917.61,Monthly,2020-07-20,Online,Repeat donor,Gala
c72c02a0-52cc-460d-aa73-87baf31c6c58,18,Female,South Matthew,High,886.56,Quarterly,2022-01-31,Mail,Major donor,Auction
a13f23e7-1249-4cd7-be06-fbebd1073640,41,Female,Adamhaven,Medium,399.36,Monthly,2020-11-08,Online,Major donor,Auction
9004bd5b-0661-4e22-b0be-f33514ce6a8a,26,Male,West Jerry,High,809.58,Monthly,2020-01-03,Mail,Repeat donor,Auction
cab75340-309a-47a9-ac87-10501a930914,19,Male,Harriston,Low,271.59,Monthly,2021-06-11,Online,Major donor,Dinner
3ed83b4c-19cf-4f7b-adfa-fce2b04a81cd,53,Non-binary,Lake Sean,Medium,10.63,Monthly,2024-01-31,Mail,First-time donor,Auction
1671bd3f-ce6c-4c53-8f36-61b2d5d60c69,20,Non-binary,Whiteville,High,440.56,Quarterly,2022-06-05,Mail,Repeat donor,Marathon
30a5f6f1-6d4d-4d73-b456-8a8d8b932771,25,Female,Lake Samuelville,Low,255.69,Quarterly,2022-09-14,Mail,First-time donor,Auction
9b6a09b2-3b8e-4124-8869-ff94144f477a,41,Non-binary,Port Jacobland,Low,502.16,Quarterly,2020-08-28,Events,First-time donor,Marathon
94ca4cc8-f200-4f00-9b1e-6163b0752b2f,61,Female,Alihaven,High,575.27,Quarterly,2024-01-21,Events,Repeat donor,Auction
